Gender,Age,Occupation,Vintage,Avg_Account_Balance,Is_Lead
Male,45,Entrepreneur,37,1093943,0
Male,51,Salaried,86,963336,1
Female,54,Self_Employed,44,2796006,0
Male,53,Self_Employed,91,1018115,0
Female,59,Other,91,1738428,0
Male,27,Self_Employed,21,843479,0
Male,26,Other,25,947431,0
Male,77,Other,93,2530234,0
Male,51,Self_Employed,63,1115481,0
Female,84,Other,87,526648,0
Male,40,Self_Employed,62,247767,0
Female,25,Other,20,950528,0
Female,28,Salaried,21,831616,0
Male,37,Self_Employed,14,463939,1
Male,34,Salaried,14,987659,0
Female,28,Self_Employed,31,1002460,0
Male,43,Other,32,604488,0
Female,32,Salaried,32,462586,0
Male,48,Other,87,3514067,0
Female,34,Salaried,25,1036805,1
Female,29,Salaried,25,283295,0
Male,54,Self_Employed,75,677361,0
Male,70,Other,99,660878,0
Female,46,Self_Employed,26,1436673,0
Female,28,Salaried,25,236562,0
Male,64,Other,92,789527,0
Female,60,Self_Employed,117,922689,1
Female,57,Self_Employed,51,961484,0
Male,44,Other,80,2047275,0
Female,43,Self_Employed,13,200659,0
Male,65,Other,99,1530070,1
Male,27,Salaried,21,1988687,0
Female,32,Salaried,27,641271,0
Female,26,Salaried,14,873721,0
Male,46,Entrepreneur,67,1194219,1
Male,29,Salaried,33,1000386,0
Female,44,Self_Employed,105,1147770,1
Male,40,Self_Employed,26,660202,0
Female,59,Self_Employed,80,676471,0
Male,29,Salaried,27,354300,1
Female,28,Salaried,26,2081434,1
Female,30,Self_Employed,20,237870,0
Male,30,Salaried,31,652628,1
Male,25,Other,14,421957,0
Male,53,Self_Employed,93,288555,1
Male,45,Self_Employed,20,854275,1
Male,51,Self_Employed,87,791752,1
Male,33,Salaried,31,1157373,0
Male,40,Self_Employed,67,667660,0
Male,41,Self_Employed,26,1052113,0
Male,26,Salaried,13,1124043,0
Male,41,Self_Employed,73,1253582,0
Male,38,Self_Employed,32,1775033,0
Male,37,Salaried,25,286197,0
Female,30,Other,33,2231675,0
Male,40,Self_Employed,15,1150236,0
Male,53,Other,51,1244433,1
Male,48,Self_Employed,26,597688,0
Male,42,Self_Employed,26,923926,0
Male,52,Self_Employed,61,975146,0
Female,73,Other,45,562622,0
Male,48,Self_Employed,56,605048,0
Male,57,Self_Employed,37,707372,0
Female,52,Self_Employed,55,1183878,0
Male,69,Other,117,742197,0
Female,48,Self_Employed,50,868435,0
Female,33,Salaried,27,1531476,0
Male,29,Self_Employed,27,3883595,0
Male,56,Self_Employed,14,506774,0
Male,39,Salaried,21,1139823,0
Male,42,Other,67,1201482,0
Male,45,Self_Employed,27,2092425,0
Male,27,Other,26,1703353,0
Female,35,Other,14,829640,0
Female,60,Self_Employed,13,992439,0
Male,25,Other,15,847093,0
Male,66,Other,15,1470351,0
Male,41,Other,37,251140,0
Female,69,Other,26,4022185,0
Female,32,Self_Employed,25,316644,0
Female,48,Self_Employed,57,766939,0
Male,60,Self_Employed,91,1113131,0
Female,28,Salaried,32,719556,0
Female,30,Other,33,540354,0
Male,46,Self_Employed,85,978394,1
Male,28,Salaried,19,530742,0
Female,57,Self_Employed,69,1528761,0
Male,79,Other,63,1812129,0
Male,29,Salaried,31,642330,0
Male,47,Other,15,482335,0
Male,55,Self_Employed,86,1061476,0
Male,52,Self_Employed,51,1328645,0
Female,27,Salaried,14,846025,0
Male,52,Self_Employed,25,639803,0
Female,28,Salaried,20,697742,0
Female,43,Self_Employed,31,938932,0
Male,48,Self_Employed,105,645632,0
Female,35,Salaried,15,629238,1
Male,31,Other,31,857034,0
Male,62,Other,85,458163,0
Male,53,Self_Employed,39,586643,0
Male,28,Salaried,20,1336112,0
Male,35,Salaried,32,573551,0
Male,45,Self_Employed,81,2192203,0
Male,54,Self_Employed,44,445436,0
Female,71,Other,62,2329735,1
Male,27,Salaried,21,1026668,0
Female,46,Self_Employed,14,1158637,0
Male,28,Salaried,33,706980,0
Female,60,Self_Employed,68,873810,1
Male,41,Self_Employed,13,1043213,0
Male,71,Other,67,380234,0
Female,30,Other,26,1478387,0
Male,30,Salaried,32,757167,0
Male,25,Salaried,14,1551581,0
Male,27,Salaried,27,937107,0
Male,29,Self_Employed,25,1834824,0
Female,77,Other,85,982488,1
Male,29,Salaried,27,834446,0
Male,59,Self_Employed,91,1278182,0
Female,36,Salaried,31,712720,0
Male,29,Salaried,21,671060,1
Male,39,Self_Employed,37,510245,0
Female,61,Self_Employed,117,1005673,0
Female,50,Other,91,687329,1
Male,68,Other,37,817660,0
Female,30,Self_Employed,25,1105807,0
Male,47,Self_Employed,21,1009171,0
Male,44,Self_Employed,20,945019,0
Female,46,Self_Employed,49,1533122,0
Female,28,Self_Employed,25,486207,0
Male,28,Salaried,20,891895,0
Male,72,Other,38,3348358,0
Male,54,Other,13,1142030,0
Female,35,Salaried,26,316573,0
Male,30,Salaried,25,2235644,0
Male,46,Self_Employed,21,643318,0
Female,27,Other,33,503811,0
Male,43,Other,21,781375,0
Female,34,Self_Employed,27,477716,0
Male,28,Salaried,20,542027,0
Female,46,Self_Employed,116,648676,0
Female,77,Other,99,2210172,1
Male,55,Self_Employed,80,1957083,0
Female,29,Salaried,26,586581,0
Male,84,Other,91,882826,0
Male,38,Self_Employed,19,1468224,0
Female,33,Salaried,26,1369629,1
Female,45,Other,74,589571,0
Female,30,Self_Employed,26,475758,0
Female,54,Self_Employed,33,903430,0
Female,34,Salaried,26,462355,0
Female,38,Salaried,32,1365375,0
Male,35,Self_Employed,13,832061,0
Female,25,Self_Employed,19,763175,0
Male,56,Self_Employed,37,806331,1
Female,34,Salaried,20,524405,0
Male,28,Salaried,21,799976,0
Male,34,Self_Employed,7,333038,0
Female,45,Self_Employed,14,755423,0
Female,49,Entrepreneur,50,765542,1
Male,49,Entrepreneur,31,426844,1
Male,61,Self_Employed,61,1334172,0
Male,49,Self_Employed,51,642651,0
Male,56,Salaried,111,953332,1
Male,28,Other,25,1682794,0
Male,75,Other,56,3024300,1
Male,54,Self_Employed,129,2352670,1
Male,26,Salaried,15,2460413,0
Male,49,Self_Employed,50,2433144,0
Male,70,Other,74,620321,0
Male,50,Self_Employed,73,956411,0
Male,53,Self_Employed,62,1341790,0
Male,42,Self_Employed,13,601809,0
Female,27,Salaried,14,2472277,0
Female,58,Other,75,692482,1
Male,29,Other,14,2741707,0
Male,61,Self_Employed,92,1253609,1
Female,37,Salaried,43,817536,1
Male,61,Self_Employed,69,1122743,0
Female,25,Salaried,15,978911,0
Female,53,Self_Employed,67,1072485,0
Male,29,Self_Employed,27,1947409,0
Female,29,Salaried,13,528882,0
Male,53,Self_Employed,105,782772,1
Female,27,Salaried,14,530724,0
Male,59,Other,93,1229508,1
Male,47,Other,85,359435,1
Female,45,Self_Employed,63,961128,0
Male,29,Salaried,31,1640501,1
Female,32,Other,21,766904,0
Female,51,Other,43,1790911,0
Female,27,Salaried,33,1174257,0
Male,69,Other,121,899647,0
Male,59,Self_Employed,103,499379,1
Male,28,Self_Employed,26,1898423,0
Female,27,Other,31,607398,0
Male,40,Self_Employed,20,415318,0
Male,27,Salaried,26,163653,0
Male,50,Self_Employed,93,1032319,1
Male,53,Self_Employed,14,506703,1
Male,79,Other,56,517081,0
Male,25,Salaried,19,786039,0
Female,33,Salaried,19,855832,1
Female,28,Salaried,33,1019646,0
Male,47,Self_Employed,75,487550,0
Male,48,Self_Employed,105,700705,0
Male,31,Salaried,32,512070,0
Male,48,Self_Employed,45,494172,1
Female,49,Salaried,85,801000,1
Male,40,Other,27,706179,0
Female,29,Salaried,31,364455,0
Female,28,Salaried,25,304825,0
Female,37,Salaried,15,1653824,1
Male,58,Self_Employed,81,1494861,1
Male,43,Self_Employed,97,2348167,1
Female,44,Self_Employed,61,3285185,0
Female,51,Other,99,674628,1
Male,41,Self_Employed,31,3298144,0
Female,30,Other,32,826133,0
Male,67,Other,61,494955,0
Female,60,Other,93,894886,1
Male,27,Salaried,21,483100,0
Male,29,Salaried,33,1201989,0
Male,70,Other,121,732906,0
Male,51,Other,62,1572256,0
Male,38,Other,13,1404909,1
Female,76,Other,55,1039368,0
Female,34,Other,32,1332605,0
Female,31,Other,26,1848343,0
Male,26,Salaried,15,755538,0
Male,41,Other,15,4246955,0
Male,54,Other,85,543879,0
Female,27,Salaried,15,550465,0
Female,27,Salaried,14,593745,0
Female,31,Salaried,14,797306,0
Male,26,Salaried,27,602085,0
Male,67,Other,15,362141,1
Male,61,Self_Employed,13,1282650,0
Male,59,Self_Employed,37,808209,0
Male,29,Self_Employed,27,381240,0
Female,62,Other,8,545436,0
Female,74,Other,51,1964959,0
Male,83,Other,80,2528979,0
Male,50,Self_Employed,129,548996,0
Female,30,Other,15,1340277,0
Male,50,Self_Employed,80,820304,0
Male,47,Entrepreneur,15,510655,1
Male,31,Salaried,25,1332552,0
Male,29,Salaried,19,1472291,0
Male,26,Other,21,807167,0
Male,29,Salaried,33,721460,0
Female,41,Self_Employed,15,884891,1
Male,36,Other,31,1228440,0
Male,31,Salaried,20,3204676,0
Male,49,Self_Employed,87,3837252,0
Female,72,Other,75,549779,0
Male,50,Other,50,626880,1
Female,39,Self_Employed,27,460441,0
Female,38,Self_Employed,79,880539,0
Male,30,Salaried,26,398070,0
Female,63,Other,44,1873325,0
Male,40,Self_Employed,21,670063,0
Female,39,Self_Employed,27,722644,0
Male,26,Salaried,14,1549899,1
Female,30,Self_Employed,19,213146,0
Female,65,Other,116,1119513,0
Male,47,Self_Employed,85,1127674,0
Male,27,Salaried,14,955148,0
Male,52,Self_Employed,20,732470,0
Male,46,Self_Employed,80,251531,0
Female,35,Self_Employed,43,951757,0
Female,79,Other,51,1544434,0
Male,83,Other,25,2802209,0
Male,52,Other,105,1271044,1
Male,71,Other,99,3506733,1
Female,36,Self_Employed,61,1403227,1
Female,54,Self_Employed,33,848730,0
Male,77,Other,49,366484,0
Male,38,Self_Employed,20,489695,1
Male,35,Salaried,31,470258,0
Female,33,Salaried,20,694645,0
Male,43,Other,75,703384,1
Female,42,Self_Employed,55,1871233,0
Male,41,Self_Employed,31,835701,0
Female,54,Self_Employed,26,2331177,0
Female,47,Other,79,1473884,1
Male,71,Other,93,1276144,1
Male,31,Salaried,25,7607631,1
Female,26,Salaried,20,736581,0
Female,27,Salaried,21,657131,0
Female,28,Salaried,26,951410,0
Female,55,Self_Employed,19,460085,0
Female,30,Salaried,14,934802,0
Female,61,Other,43,1376224,0
Male,41,Self_Employed,27,1168507,0
Male,29,Salaried,32,2525891,0
Male,71,Other,50,693585,0
Female,32,Other,25,1114920,0
Male,64,Other,44,395311,0
Female,43,Other,13,1192537,1
Female,28,Salaried,25,549717,0
Female,42,Self_Employed,14,1189796,0
Female,42,Self_Employed,20,2039408,0
Male,43,Self_Employed,20,1230736,0
Female,27,Salaried,26,998304,0
Female,30,Salaried,15,404398,0
Male,29,Salaried,27,303356,0
Male,52,Self_Employed,21,719004,1
Female,26,Salaried,13,1616836,0
Female,51,Self_Employed,109,3740821,1
Female,37,Self_Employed,38,759908,0
Male,46,Self_Employed,15,921016,1
Female,29,Salaried,21,1277666,0
Male,76,Other,38,4428364,0
Female,27,Salaried,13,337336,0
Female,27,Salaried,21,1171409,0
Female,78,Other,49,1498261,0
Female,32,Salaried,15,692108,0
Female,54,Other,63,387043,1
Male,29,Self_Employed,31,608911,0
Male,28,Salaried,26,3489182,0
Female,50,Self_Employed,110,866637,0
Female,52,Self_Employed,32,1161325,0
Female,30,Salaried,33,2180962,0
Male,67,Other,109,1911355,1
Female,26,Other,20,1586193,0
Female,49,Self_Employed,99,1846055,0
Male,56,Self_Employed,117,960621,0
Male,63,Other,43,555493,0
Male,62,Other,51,771363,0
Male,58,Self_Employed,62,815435,0
Male,60,Other,49,701880,0
Male,45,Self_Employed,50,730440,0
Female,61,Self_Employed,116,2827708,0
Female,30,Salaried,27,935505,0
Female,36,Other,21,298559,0
Female,59,Other,63,2403089,0
Male,54,Salaried,21,463698,1
Female,42,Self_Employed,13,734152,0
Male,55,Self_Employed,86,934606,1
Male,33,Salaried,33,1853540,1
Male,51,Other,79,1298688,1
Male,41,Self_Employed,19,558136,0
Female,24,Salaried,13,531855,0
Female,51,Self_Employed,15,584819,0
Female,73,Other,67,221894,0
Female,29,Salaried,19,715319,0
Male,56,Other,63,686893,0
Female,26,Salaried,21,521264,0
Male,60,Self_Employed,38,1184020,0
Male,38,Self_Employed,20,880183,0
Male,30,Salaried,26,456685,0
Male,61,Self_Employed,104,1225174,0
Male,28,Salaried,20,792313,0
Female,56,Self_Employed,111,6803898,0
Male,39,Self_Employed,62,401416,0
Male,31,Salaried,31,1067199,0
Male,46,Self_Employed,27,2723471,0
Male,64,Other,104,1340526,0
Male,32,Salaried,31,1014226,0
Male,60,Self_Employed,123,581775,0
Female,29,Other,27,1017830,0
Female,29,Salaried,26,763335,0
Male,44,Self_Employed,39,431124,0
Female,29,Salaried,26,803251,0
Female,30,Other,19,888745,0
Female,53,Salaried,91,1429909,1
Male,39,Self_Employed,19,934366,1
Female,72,Other,51,2645284,0
Male,61,Self_Employed,74,1003706,1
Female,54,Salaried,105,2495453,1
Male,29,Salaried,13,717544,0
Male,58,Self_Employed,92,1178983,1
Male,35,Salaried,19,1130264,0
Female,30,Other,14,670695,0
Female,51,Self_Employed,51,1495992,0
Female,29,Salaried,20,2191749,0
Male,58,Self_Employed,111,507771,0
Male,30,Salaried,21,1146845,0
Female,46,Self_Employed,92,632861,1
Male,62,Other,86,1049443,1
Male,36,Self_Employed,14,1387599,0
Male,42,Self_Employed,69,970278,1
Male,67,Other,13,1260186,1
Female,53,Self_Employed,104,1188167,0
Female,34,Salaried,25,638512,0
Male,59,Self_Employed,63,908164,0
Male,69,Other,56,1826315,0
Female,53,Self_Employed,115,1206314,0
Male,29,Other,43,1823734,1
Female,33,Salaried,21,1457935,0
Female,25,Salaried,14,1298794,1
Female,28,Salaried,13,1100013,0
Male,47,Entrepreneur,99,2019285,1
Female,80,Other,67,1792290,0
Female,31,Other,19,1743065,0
Male,51,Self_Employed,15,1431840,0
Male,46,Self_Employed,104,709169,1
Female,31,Other,15,713833,0
Female,34,Salaried,32,496050,1
Male,48,Self_Employed,15,661617,1
Male,51,Self_Employed,99,1007088,0
Male,27,Salaried,19,979658,0
Female,27,Other,21,1202398,0
Male,56,Self_Employed,79,1568553,1
Male,77,Other,79,3573554,1
Male,39,Self_Employed,26,1127941,0
Male,25,Salaried,14,828679,0
Female,27,Self_Employed,26,3442395,0
Female,32,Salaried,27,1133957,0
Male,38,Salaried,32,925439,1
Male,41,Self_Employed,38,689981,0
Female,45,Self_Employed,79,1933044,1
Female,27,Other,13,994299,0
Male,32,Salaried,26,898730,0
Male,30,Salaried,13,571317,0
Female,48,Self_Employed,67,1169646,0
Female,60,Self_Employed,21,810220,1
Female,29,Salaried,32,313102,0
Male,27,Salaried,26,725866,0
Female,27,Other,20,443487,0
Male,54,Self_Employed,104,1478192,0
Male,29,Self_Employed,27,695152,0
Male,36,Salaried,15,797689,0
Male,51,Other,31,968142,0
Female,63,Other,44,689420,0
Female,44,Self_Employed,69,1168721,0
Female,35,Salaried,26,371388,0
Male,60,Other,50,426630,1
Female,25,Salaried,13,4074179,0
Female,44,Other,99,935799,1
Male,54,Self_Employed,39,535922,1
Male,61,Other,115,522216,0
Female,51,Other,111,1125129,1
Male,68,Other,75,697751,0
Female,31,Salaried,31,1022636,0
Male,67,Other,122,1803291,0
Female,71,Other,73,1281350,0
Female,54,Self_Employed,32,701969,1
Female,52,Self_Employed,31,877976,0
Female,27,Salaried,25,2538636,0
Female,29,Salaried,25,454336,0
Male,27,Salaried,21,1514379,0
Male,34,Salaried,21,226567,0
Female,66,Other,21,1106875,1
Female,55,Self_Employed,122,2915729,0
Male,54,Other,104,1051098,0
Male,26,Salaried,25,697688,0
Male,28,Salaried,13,1051846,0
Male,63,Other,110,1115668,0
Male,52,Self_Employed,105,2293645,0
Female,71,Other,57,3773368,0
Male,66,Other,111,2128853,0
Female,31,Self_Employed,13,1464406,0
Male,53,Self_Employed,97,875217,1
Male,27,Salaried,25,1096844,0
Male,26,Salaried,27,887436,0
Female,26,Salaried,13,454434,0
Male,32,Salaried,32,1501163,0
Male,64,Other,73,477805,1
Female,26,Salaried,21,761546,0
Female,27,Self_Employed,14,520356,0
Female,82,Other,61,393415,0
Female,45,Self_Employed,104,986707,0
Female,48,Self_Employed,37,2501665,0
Male,46,Self_Employed,44,496459,0
Female,48,Self_Employed,61,371530,1
Female,54,Self_Employed,25,489419,0
Male,42,Self_Employed,19,580636,0
Female,28,Salaried,19,1013745,0
Male,38,Self_Employed,26,742562,0
Male,50,Self_Employed,98,3287499,0
Female,29,Salaried,27,315869,0
Male,26,Salaried,15,292801,0
Male,51,Self_Employed,105,1935518,1
Male,61,Self_Employed,32,525687,0
Male,64,Other,50,1010737,0
Female,30,Salaried,33,646300,0
Female,44,Other,56,572172,1
Female,29,Salaried,27,582424,1
Female,63,Other,26,2323994,0
Male,48,Self_Employed,14,329807,0
Female,24,Salaried,14,553179,0
Male,46,Self_Employed,62,2118378,0
Female,60,Self_Employed,99,1658301,0
Female,25,Salaried,19,487568,0
Female,34,Other,27,464704,0
Female,35,Other,27,1057346,0
Male,45,Self_Employed,49,1033334,0
Female,45,Self_Employed,68,1173794,1
Male,48,Self_Employed,87,915213,0
Male,31,Salaried,21,941353,1
Male,36,Self_Employed,61,1746251,0
Male,65,Other,86,1546971,1
Female,62,Other,31,811769,0
Female,65,Other,115,1060595,0
Male,25,Salaried,15,888113,0
Male,46,Self_Employed,15,766619,0
Male,45,Self_Employed,19,709908,1
Female,31,Salaried,33,3484243,0
Male,49,Self_Employed,91,2004698,0
Male,48,Self_Employed,85,247348,1
Male,48,Self_Employed,25,1197975,0
Female,80,Other,92,1691195,0
Female,61,Self_Employed,85,477760,1
Female,32,Salaried,15,2794502,0
Female,69,Other,68,823161,0
Female,25,Other,14,421370,0
Male,47,Self_Employed,25,282210,0
Female,47,Self_Employed,63,1372744,1
Male,48,Self_Employed,93,1391328,0
Female,35,Self_Employed,13,500651,0
Male,49,Other,14,2383420,0
Female,52,Self_Employed,50,810104,0
Male,39,Salaried,32,530279,0
Male,67,Other,79,1221720,0
Female,25,Salaried,14,450856,0
Female,73,Other,75,406952,0
Male,31,Self_Employed,39,786145,0
Male,36,Salaried,26,547350,0
Male,46,Self_Employed,56,938282,0
Female,57,Self_Employed,57,1998112,0
Female,29,Salaried,26,663699,0
Female,30,Other,25,817696,0
Male,71,Other,117,1070322,0
Male,28,Salaried,14,1986782,0
Male,59,Other,69,508359,0
Male,53,Self_Employed,50,1303618,0
Male,60,Self_Employed,91,878741,0
Female,54,Other,13,853073,0
Male,28,Salaried,13,332628,0
Male,28,Salaried,26,460895,1
Female,83,Other,49,1315544,0
Female,28,Salaried,26,794075,0
Male,30,Salaried,14,538476,0
Male,47,Self_Employed,51,433723,0
Male,42,Other,31,249894,1
Female,29,Salaried,19,686706,0
Male,48,Self_Employed,86,1113665,0
Male,41,Self_Employed,25,415469,0
Female,79,Other,87,3581894,0
Female,30,Salaried,27,918008,0
Male,53,Self_Employed,39,1775674,1
Female,33,Other,27,581178,0
Male,66,Other,75,1545511,1
Male,61,Self_Employed,103,1990253,0
Female,54,Self_Employed,19,522225,0
Male,31,Other,20,952700,0
Male,60,Self_Employed,103,729274,0
Male,48,Self_Employed,67,768345,1
Male,28,Salaried,20,504265,0
Male,36,Self_Employed,13,728821,0
Male,52,Entrepreneur,25,894957,1
Female,48,Self_Employed,86,568069,0
Female,34,Self_Employed,62,309479,0
Female,27,Salaried,25,1101410,0
Female,30,Salaried,21,438725,0
Male,36,Other,19,749442,1
Male,64,Other,87,1136013,0
Male,29,Self_Employed,13,1856540,0
Male,47,Entrepreneur,45,3173455,0
Male,50,Self_Employed,68,407370,1
Male,26,Other,20,933529,0
Male,83,Other,55,2405403,0
Male,53,Self_Employed,115,1991570,1
Female,45,Self_Employed,9,431409,1
Male,51,Salaried,93,1422042,1
Male,27,Other,20,1002478,0
Female,71,Other,111,1232231,1
Female,31,Self_Employed,33,283473,0
Male,54,Self_Employed,39,1340776,1
Female,29,Salaried,20,661403,0
Male,38,Self_Employed,61,1906477,0
